word_id,root_id,sequence,sequence_2
7973,43,1,NULL
1961,897,4,NULL
745,941,2,NULL
745,1160,1,NULL
746,864,2,NULL
746,1229,1,NULL
518,1229,2,NULL
518,80,1,NULL
1972,951,1,2
1972,822,2,1
748,91,1,NULL
748,842,3,NULL
748,951,2,NULL
752,869,3,1
752,236,2,3
752,89,1,2
753,719,2,NULL
753,391,1,NULL
754,842,4,1
754,1230,3,2
754,118,2,4
754,107,1,3
755,497,1,NULL
755,1233,2,NULL
756,497,1,NULL
757,1108,2,NULL
757,497,1,NULL
758,809,3,NULL
758,4038,2,NULL
758,1236,1,NULL
443,1239,2,NULL
443,4086,3,NULL
759,1103,3,NULL
759,497,2,NULL
759,56,1,NULL
1973,497,1,NULL
1973,1240,2,NULL
694,1125,1,NULL
761,1508,2,NULL
761,1125,1,NULL
338,326,1,NULL
762,822,4,NULL
762,326,3,NULL
1974,1243,3,NULL
1974,4198,2,NULL
1974,1206,1,NULL
1968,517,1,NULL
1968,829,2,NULL
1975,80,1,NULL
1975,792,2,NULL
1975,1064,3,NULL
450,1064,2,1
450,1245,1,2
764,3607,2,NULL
764,685,1,NULL
765,374,2,NULL
765,1246,1,NULL
767,1242,3,NULL
767,321,2,NULL
767,72,1,NULL
770,321,1,NULL
770,222,2,NULL
770,864,3,NULL
771,529,1,NULL
771,236,2,NULL
775,306,2,NULL
775,1168,1,NULL
776,864,3,NULL
776,200,2,NULL
776,321,1,NULL
777,3403,1,NULL
777,200,2,NULL
777,3165,3,NULL
778,467,1,NULL
778,762,2,NULL
779,1249,3,NULL
779,1248,2,NULL
779,119,1,NULL
780,4055,3,NULL
780,370,2,NULL
1976,3449,1,NULL
1976,864,3,NULL
1976,666,2,NULL
783,599,1,NULL
783,1249,3,NULL
783,1248,2,NULL
784,4271,3,NULL
784,370,2,NULL
785,1252,1,NULL
785,1253,2,NULL
786,108,1,NULL
786,321,2,NULL
786,864,3,NULL
787,563,1,NULL
787,370,2,NULL
789,1254,1,NULL
790,1254,1,NULL
792,1248,2,NULL
792,1249,3,NULL
792,1053,1,NULL
793,510,2,NULL
3755,2382,1,NULL
794,868,4,NULL
794,1258,3,NULL
794,1183,1,NULL
795,1049,2,NULL
795,1258,1,NULL
796,1791,4,NULL
796,1259,1,NULL
796,1258,3,NULL
797,842,3,NULL
797,1024,1,NULL
797,1258,2,NULL
3615,869,2,NULL
798,248,1,NULL
799,1265,1,NULL
1977,809,3,NULL
1977,1264,2,NULL
1977,1265,1,NULL
801,1266,1,NULL
802,1266,2,NULL
802,1344,1,NULL
803,100,2,NULL
803,1266,3,NULL
803,4055,4,NULL
804,987,3,NULL
804,1266,2,NULL
804,1268,1,NULL
806,1269,1,NULL
806,1270,2,NULL
806,1650,3,NULL
807,1270,2,NULL
807,91,1,NULL
807,824,3,NULL
808,92,1,2
808,822,3,1
808,1271,2,3
270,876,3,NULL
270,1273,2,NULL
34,1003,2,NULL
761,1242,3,NULL
762,1125,1,NULL
498,1506,2,NULL
498,4169,3,NULL
498,93,1,NULL
809,104,1,NULL
809,133,2,NULL
809,886,3,NULL
810,886,3,NULL
810,717,2,NULL
810,104,1,NULL
811,1477,2,NULL
811,1872,1,NULL
812,842,3,NULL
812,1872,2,NULL
812,788,1,NULL
813,979,2,NULL
813,1872,1,NULL
813,814,3,NULL
816,1056,4,NULL
816,159,3,NULL
816,194,2,NULL
817,159,3,NULL
817,842,4,NULL
817,6,1,NULL
821,1275,2,NULL
821,639,1,NULL
822,1496,1,NULL
822,1064,3,NULL
822,639,2,NULL
825,58,1,NULL
825,273,2,NULL
825,1278,3,NULL
826,3,1,NULL
826,273,2,NULL
826,823,3,NULL
828,1279,2,NULL
828,344,1,NULL
7486,987,2,NULL
1978,344,2,NULL
831,292,2,NULL
831,1081,1,NULL
832,467,2,NULL
832,1081,1,NULL
833,4085,3,NULL
833,1137,2,NULL
834,1280,2,NULL
834,1756,1,NULL
835,1224,2,NULL
836,297,2,1
836,1283,1,2
837,143,2,NULL
837,1283,1,NULL
838,4085,3,NULL
838,1284,2,NULL
839,822,2,NULL
839,1836,1,NULL
840,864,2,NULL
840,1038,1,NULL
356,340,2,NULL
356,113,1,NULL
355,878,3,NULL
355,1286,2,NULL
355,535,1,NULL
357,1287,2,NULL
357,58,1,NULL
357,884,3,NULL
358,3644,2,NULL
358,1288,1,NULL
359,340,2,NULL
359,878,3,NULL
359,569,1,NULL
360,34,1,NULL
360,341,2,NULL
360,842,3,NULL
361,959,3,NULL
361,341,2,NULL
361,1290,1,NULL
362,884,2,NULL
362,341,1,NULL
363,809,2,NULL
363,1293,1,NULL
364,342,1,NULL
364,1294,2,NULL
365,823,3,NULL
365,2534,2,NULL
365,1344,1,NULL
366,2916,2,NULL
366,93,1,NULL
366,1297,3,NULL
367,840,3,NULL
367,1298,2,NULL
367,1070,1,NULL
368,803,2,1
368,1299,1,2
369,836,3,3
369,1301,2,1
369,1300,1,2
1484,402,1,NULL
1484,374,2,NULL
370,1304,2,1
370,1303,1,2
371,809,2,NULL
371,2766,1,NULL
1396,155,1,2
1396,822,2,1
1513,490,1,NULL
1513,874,2,NULL
1412,100,1,NULL
1412,194,2,NULL
1412,987,3,NULL
372,884,3,NULL
372,1300,2,NULL
372,93,1,NULL
373,820,2,NULL
373,1307,1,NULL
374,886,2,NULL
374,899,3,NULL
374,1309,1,NULL
375,823,3,NULL
375,200,2,NULL
375,1310,1,NULL
376,358,2,NULL
376,987,3,NULL
7486,637,1,NULL
1407,185,1,NULL
1245,2101,2,NULL
1245,185,1,NULL
1672,185,1,NULL
1410,188,1,NULL
1410,493,2,NULL
1673,194,2,NULL
1673,1325,1,NULL
1413,297,1,NULL
1413,987,3,NULL
1413,4276,2,NULL
1419,197,2,NULL
1419,374,1,NULL
1423,201,1,NULL
1423,568,2,NULL
1740,1318,3,NULL
1740,1391,2,NULL
1740,1316,1,NULL
1793,134,2,NULL
1793,1872,1,NULL
1893,1064,3,NULL
1817,1323,2,NULL
1817,1315,1,NULL
772,1164,2,NULL
1471,344,2,1
1472,100,1,NULL
1472,352,2,NULL
1474,766,2,NULL
1474,352,1,NULL
1475,987,2,NULL
1475,355,1,NULL
1476,355,1,NULL
3128,823,2,NULL
1477,355,1,NULL
1477,897,2,NULL
926,467,1,NULL
1458,300,1,NULL
40,4276,1,NULL
305,1018,3,NULL
305,35,2,NULL
305,58,1,NULL
677,256,3,NULL
380,35,1,NULL
380,1805,3,NULL
86,3221,1,NULL
380,3191,2,NULL
2655,2056,1,NULL
2655,137,2,NULL
3128,1527,1,NULL
2656,878,2,NULL
2656,1327,1,NULL
2715,1266,2,NULL
2715,1343,3,NULL
1824,2313,1,NULL
2661,963,2,NULL
2661,823,3,NULL
2662,846,3,NULL
2662,374,2,NULL
2662,1331,1,NULL
1535,248,3,NULL
1535,822,5,NULL
2663,43,1,NULL
2663,594,2,NULL
2663,2101,3,NULL
2664,374,1,NULL
2664,366,2,NULL
2664,869,3,NULL
2665,838,2,NULL
2665,1332,1,NULL
2666,3703,3,NULL
2667,1852,1,NULL
2716,813,3,NULL
2716,1024,1,NULL
2672,1739,1,NULL
2669,869,3,NULL
2669,1336,2,NULL
2669,91,1,NULL
2670,113,1,NULL
2670,784,2,NULL
2670,908,3,NULL
2671,2198,2,NULL
2671,56,1,NULL
2673,807,2,NULL
2673,1141,1,NULL
2674,4055,3,NULL
2660,959,2,NULL
2660,1339,1,NULL
986,1428,1,NULL
986,340,2,NULL
2714,1341,2,NULL
2714,748,1,NULL
2715,1344,1,NULL
2685,959,3,NULL
2685,1353,2,NULL
2685,342,1,NULL
2687,944,3,1
2687,1344,1,3
2687,1345,2,2
2688,341,2,NULL
2688,812,3,NULL
2688,1024,1,NULL
2689,836,2,2
2689,1909,1,1
2944,897,2,NULL
2691,1301,2,NULL
2691,2029,1,NULL
2719,717,2,NULL
2719,1505,1,NULL
6029,1430,2,NULL
2693,1349,2,NULL
2693,1354,1,NULL
2694,1065,3,NULL
2694,1325,1,NULL
2694,1350,2,NULL
2695,886,3,NULL
2695,1351,2,NULL
2695,1177,1,NULL
2693,3525,3,NULL
2724,1331,1,NULL
2724,374,2,NULL
2666,362,2,NULL
2667,1356,2,NULL
2674,182,2,NULL
2696,897,3,NULL
2696,1358,1,NULL
2696,1359,2,NULL
2697,58,1,NULL
2697,1713,3,NULL
2697,1384,2,NULL
2698,896,2,NULL
2698,3064,1,NULL
2704,823,3,NULL
2704,721,2,NULL
86,2584,2,NULL
2725,1017,2,NULL
2725,201,1,NULL
2726,1017,3,1
2726,201,2,3
2726,1,1,2
2727,662,2,NULL
2727,3597,3,NULL
2728,1363,1,NULL
2728,3597,2,NULL
1362,716,1,NULL
2675,1364,1,NULL
2675,1365,2,NULL
2675,3580,3,NULL
2676,1024,1,NULL
2676,1369,3,NULL
2676,340,2,NULL
2677,987,3,NULL
2677,1366,2,NULL
2677,21,1,NULL
2700,1065,3,NULL
2700,1344,1,NULL
2700,1367,2,NULL
1260,1370,2,NULL
1260,1024,1,NULL
2729,722,1,NULL
2729,404,2,NULL
2730,1379,3,NULL
2730,1215,2,NULL
2731,201,2,NULL
2731,15,1,NULL
2732,201,1,NULL
2732,1377,2,NULL
2705,1374,2,NULL
2705,56,1,NULL
1377,1366,1,NULL
2707,1375,2,NULL
2707,1269,1,NULL
2709,1426,2,NULL
2709,252,1,NULL
2723,987,3,NULL
2723,756,2,NULL
2723,21,1,NULL
2711,2328,4,NULL
2711,2418,2,NULL
2711,1516,3,NULL
2733,4198,1,NULL
2733,3480,2,NULL
850,201,1,NULL
850,4265,2,NULL
850,1379,3,NULL
2730,54,1,NULL
2734,201,4,NULL
2734,774,3,NULL
2734,30,2,NULL
2735,823,4,1
2735,1383,3,3
2735,43,2,4
2735,1382,1,2
2783,3107,2,3
2783,876,3,2
2783,1384,1,1
2788,844,2,NULL
2788,1386,1,NULL
2790,879,2,NULL
2790,342,1,NULL
2790,846,3,NULL
2733,4265,3,NULL
2736,823,4,1
2736,1390,3,2
2736,100,2,4
